Episode,First Place,Second Place,Third Place,Fourth Place,Detector 1,Detector 2,
1,Yasmina,Jess,Mark,Devan,Mark,Jess,
2,Obi,Anna,Deborah,Dan,Anna,Anna,
3,Nicolette,Ricky,Leo,Lithemba,Nicolette,Nicolette,
4,Shakina,Dani,Luis,Josh,Dani,Dani,
5,Success,Sophie,Nathan,Emma,Sophie,Sophie,
6,Kieran,Karina,James,N'Chicka,James,Kieran,
7,Indi,Ramisa,Saskia,Keelan,Saskia,Indi,Kicked off because he seemed smart?
8,Frazier,T'Challa,Jess,Lisa-Jane,Jess,Frazier,
9,Reco,Jeanette,Eren,Becca,Jeanette,Reco,
10,Gemma,Natasha,George,Success,Gemma,Gemma,
11,Joseph,Zoya,Josie,Robyn,Josie,Zoya,
12,Alex,Aaron,Loren,Leon,Aaron,Alex,
